"start","end","text"
"50480","50620"," my"
"50620","50980"," work,"
"51120","51560"," I"
"51560","51840"," source"
"51840","51980"," a"
"51980","52060"," lot"
"52060","52140"," of"
"52140","52500"," inspiration"
"52500","52960"," looking"
"52960","53140"," at"
"53140","53620"," traditional"
"53620","54020"," art"
"54020","54160"," and"
"54160","54520"," traditional"
"54520","54940"," cultures"
"54940","55160"," because"
"55160","55400"," I"
"55400","55760"," find"
"55760","56080"," that"
"56080","56900"," that"
"56900","57120"," is"
"57120","57520"," more"
"57520","58120"," advanced."
"58440","58440"," You"
"58440","58560"," know,"
"58600","59080"," sometimes,"
"59660","59840"," you"
"59840","59900"," know,"
"59940","60020"," when"
"60020","60140"," you"
"60140","60500"," read"
"60500","60800"," text"
"60800","61000"," about"
"61000","61140"," the"
"61140","61360"," history"
"61360","61500"," of"
"61500","61740"," art"
"61740","61880"," and"
"61880","62040"," what"
"62040","62280"," have"
"62280","62460"," you,"
"62920","62960"," you"
"62960","63060"," know,"
"63099","63180"," they"
"63180","63700"," categorize"
"63700","63980"," things"
"63980","64120"," from"
"64120","64360"," Africa"
"64360","64500"," as"
"64500","64660"," being"
"64660","65000"," primitive. "
"65300","65340"," It's"
"65340","65500"," not"
"65500","65820"," primitive."
"66180","66400"," It's"
"66400","66660"," actually"
"66660","66980"," very"
"66980","67480"," sophisticated."
"67760","67880"," It's"
"67880","68000"," a"
"68000","68360"," sophisticated"
"68360","69020"," system. "
"69460","69620"," Hence,"
"69660","69860"," there's"
"69860","69980"," a"
"69980","70180"," reason"
"70180","70400"," why"
"70400","70880"," Picasso"
"70880","71440"," lifted"
"71440","71760"," and"
"71760","71980"," took"
"71980","72240"," so"
"72240","72520"," much"
"72520","73000"," inspiration"
"73000","73300"," from"
"73300","73620"," Africa."
"75220","75680"," Her"
"75680","76100"," journey"
"76100","76420"," into"
"76420","76880"," photography"
"76880","77460"," started"
"77460","78140"," in"
"78140","78620"," Alberta,"
"78860","79160"," Canada,"
"79420","79820"," when"
"79820","79980"," she"
"79980","80180"," was"
"80180","80580"," 16"
"80580","80880"," years"
"80880","81220"," old."
"81760","82160"," Really,"
"82340","82420"," my"
"82420","82660"," love"
"82660","82800"," and"
"82800","83080"," passion"
"83080","83260"," for"
"83260","83520"," photography"
"83520","84120"," started"
"84120","84520"," from"
"84520","84760"," the"
"84760","85000"," first"
"85000","85360"," print. "
"85660","85740"," I"
"85740","86000"," started"
"86000","86540"," photography"
"86540","86840"," in"
"86840","87680"," photojournalism,"
"87880","88000"," and"
"88000","88280"," the"
"88280","88480"," reason"
"88480","88680"," why"
"88680","88820"," I"
"88820","89020"," also"
"89020","89320"," teach"
"89320","90060"," photojournalism"
"90060","90240"," is"
"90240","90460"," because"
"90460","90620"," I"
"90620","90880"," believe"
"90880","91120"," that's"
"91120","91260"," the"
"91260","91600"," basis"
"91600","92100"," of"
"92100","92720"," understanding"
"92720","92940"," the"
"92940","93160"," visual"
"93160","93640"," language."
"94220","94320"," We"
"94320","94520"," have"
"94520","94620"," to"
"94620","94800"," also"
"94800","95200"," understand"
"95200","95420"," how"
"95420","95560"," do"
"95560","95640"," we"
"95640","95800"," use"
"95800","95900"," the"
"95900","96100"," visual"
"96100","96440"," language"
"96440","96680"," to"
"96680","96860"," tell"
"96860","96960"," a"
"96960","97120"," very"
"97120","97500"," specific"
"97500","98040"," story."
"98480","98600"," And"
"98600","98760"," at"
"98760","99020"," some"
"99020","99400"," point,"
"99580","99700"," you"
"99700","99840"," know,"
"99900","100060"," what"
"100060","100260"," ended"
"100260","100420"," up"
"100420","100800"," happening"
"100800","101140"," is"
"101140","101480"," that"
"101480","101880"," I"
"101880","102040"," knew"
"102040","102180"," that"
"102180","102760"," photojournalism"
"102760","102920"," was"
"102920","103080"," not"
"103080","103220"," going"
"103220","103280"," to"
"103280","103400"," be"
"103400","103660"," enough"
"103660","103840"," for"
"103840","103980"," the"
"103980","104180"," things"
"104180","104320"," that"
"104320","104420"," I"
"104420","104600"," wanted"
"104600","104800"," to"
"104800","105040"," speak"
"105040","105300"," on,"
"105520","105840"," and"
"105840","106000"," this"
"106000","106120"," is"
"106120","106240"," how"
"106240","106360"," I"
"106360","106600"," entered"
"106600","106800"," into"
"106800","106980"," the"
"106980","107200"," fine"
"107200","107360"," art"
"107360","107780"," world. "
"107780","108760"," As"
"108760","108940"," she"
"108940","109380"," transitioned"
"109380","109640"," to"
"109640","109920"," fine"
"109920","110240"," arts,"
"110820","110920"," the"
"110920","111240"," urge"
"111240","111420"," to"
"111420","111700"," change"
"111700","111840"," the"
"111840","112260"," world's"
"112260","112580"," negative"
"112580","113100"," perceptions"
"113100","113420"," about"
"113420","113780"," Africa"
"113780","114360"," got"
"114360","114820"," stronger."
"115540","116060"," The"
"116060","116420"," images"
"116420","116620"," that"
"116620","116740"," I"
"116740","116940"," saw"
"116940","117060"," of"
"117060","117180"," my"
"117180","117440"," country,"
"117560","117880"," Ethiopia,"
"118360","118800"," was"
"118800","119200"," always"
"119200","120100"," showcasing"
"120100","120460"," things"
"120460","120720"," that"
"120720","121020"," didn't"
"121020","121240"," really"
"121240","121540"," match"
"121540","121740"," the"
"121740","122000"," stories"
"122000","122140"," that"
"122140","122280"," my"
"122280","122460"," mother"
"122460","122660"," was"
"122660","122920"," telling"
"122920","123180"," me."
"123360","123480"," When"
"123480","123620"," we"
"123620","123780"," look"
"123780","123980"," at"
"123980","124380"," images,"
"124540","124760"," especially"
"124760","124960"," in"
"124960","125180"," mass"
"125180","125560"," media,"
"125740","125880"," in"
"125880","126100"," print"
"126100","126500"," media,"
"127500","128020"," often"
"128020","128539"," when"
"128539","129539"," there's"
"129539","129639"," a"
"129639","130020"," representation"
"130020","130380"," of"
"130380","130500"," the"
"130500","130900"," continent,"
"131400","131720"," it's"
"131720","131920"," always"
"131920","132080"," a"
"132080","132300"," one "
"132300","132500","-sided"
"132500","133000"," story. "
"133400","133580"," So"
"133580","133800"," at"
"133800","133900"," a"
"133900","134040"," very"
"134040","134380"," early"
"134380","134800"," age,"
"134960","135040"," you"
"135040","135100"," know,"
"135140","135260"," my"
"135260","135500"," first"
"135500","135800"," exhibition"
"135800","136080"," was"
"136080","136220"," at"
"136220","136360"," the"
"136360","136460"," age"
"136460","136580"," of"
"136580","137020"," 19,"
"137020","137680"," and"
"137680","137780"," I"
"137780","137880"," had"
"137880","137960"," a"
"137960","138120"," very"
"138120","138500"," specific"
"138500","139000"," mission"
"139000","139540"," on"
"139540","139900"," how"
"139900","140160"," do"
"140160","140300"," we"
"140300","141000"," reimagine"
"141000","141860"," what"
"141860","142040"," does"
"142040","142340"," Africa"
"142340","142640"," look"
"142640","142820"," like,"
"142880","142960"," what"
"142960","143080"," is"
"143080","143200"," the"
"143200","143600"," culture,"
"144220","144280"," you"
"144280","144320"," know,"
"144360","144440"," what"
"144440","144520"," is"
"144520","144640"," the"
"144640","145020"," contemporary"
"145020","145600"," story"
"145600","145900"," of"
"145900","146040"," the"
"146040","146420"," continent?"
"147020","147160"," And"
"147160","147300"," this"
"147300","147440"," has"
"147440","147560"," been"
"147560","147740"," one"
"147740","147820"," of"
"147820","147960"," the"
"147960","148260"," reasons"
"148260","148780"," that,"
"148940","149060"," you"
"149060","149100"," know,"
"149140","149220"," I"
"149220","149380"," moved"
"149380","149600"," back"
"149600","149740"," to"
"149740","150120"," Ethiopia,"
"150500","150640"," and"
"150640","150840"," even"
"150840","151180"," being"
"151180","151360"," here"
"151360","151480"," in"
"151480","151660"," West"
"151660","152020"," Africa"
"152020","152800"," has"
"152800","153000"," really"
"153000","153320"," been"
"153320","153680"," to"
"153680","154040"," shift"
"154040","154320"," that"
"154320","154720"," perception"
"154720","155040"," and"
"155040","155260"," to"
"155260","155520"," develop"
"155520","155980"," talent."
"157000","157520"," Fast"
"157520","157780"," forward"
"157780","157960"," to"
"157960","158480"," 2010,"
"158940","159120"," IDA"
"159120","159600"," created"
"159600","160140"," the"
"160140","160460"," Addis"
"160460","160720"," Photo"
"160720","161020"," Fair,"
"161420","161640"," the"
"161640","161900"," first"
"161900","162500"," international"
"162500","162940"," photography"
"162940","163320"," festival"
"163320","163900"," in"
"163900","164160"," East"
"164160","164520"," Africa."
"166220","166740"," Now,"
"166940","167180"," she"
"167180","167400"," hopes"
"167400","167560"," to"
"167560","167880"," replicate"
"167880","168240"," the"
"168240","168760"," success"
"168760","169260"," of"
"169260","169400"," the"
"169400","169780"," critically"
"169780","170160"," acclaimed"
"170160","170680"," Biennale"
"170680","171360"," this"
"171360","171680"," time"
"171680","172020"," in"
"172020","172220"," West"
"172220","172560"," Africa. "
"174670","175110"," I"
"175110","175570"," remember"
"175570","176030"," when"
"176030","176230"," I"
"176230","176590"," first"
"176590","176890"," started"
"176890","177070"," the"
"177070","177450"," festival,"
"177650","177710"," we"
"177710","177930"," only"
"177930","178170"," had"
"178170","178430"," about,"
"178550","178590"," I"
"178590","178790"," think,"
"178910","179210"," five"
"179210","179670"," photographers"
"179670","179850"," from"
"179850","180110"," Ethiopia"
"180110","180370"," that"
"180370","180730"," exhibited,"
"180910","181150"," along"
"181150","181330"," with"
"181330","181670"," photographers"
"181670","181930"," from"
"181930","182250"," across"
"182250","182430"," the"
"182430","182670"," world."
"183270","183590"," And"
"183590","184330"," the"
"184330","184630"," last"
"184630","184910"," edition"
"184910","185090"," of"
"185090","185630"," 2018,"
"186470","186570"," we"
"186570","186750"," had"
"186750","187030"," around"
"187030","187510"," 36"
"187510","188030"," photographers"
"188030","189070"," that"
"189070","189190"," were"
"189190","189550"," exhibited."
"189770","189910"," But"
"189910","190170"," the"
"190170","190390"," key"
"190390","190530"," thing"
"190530","190730"," for"
"190730","190910"," me"
"190910","190990"," is"
"190990","191090"," that"
"191090","191230"," the"
"191230","191530"," students"
"191530","191790"," that"
"191790","192130"," I"
"192130","192370"," have"
"192370","192770"," taught,"
"192770","193330"," you"
"193330","193470"," know,"
"193490","193570"," for"
"193570","193790"," them"
"193790","193970"," to"
"193970","194290"," enter,"
"194490","194530"," to"
"194530","194730"," be"
"194730","194850"," able"
"194850","195010"," to"
"195010","195190"," shoot"
"195190","195330"," for"
"195330","195490"," New"
"195490","195650"," York"
"195650","196030"," Times,"
"196190","196230"," to"
"196230","196330"," be"
"196330","196450"," able"
"196450","196610"," to"
"196610","196750"," shoot"
"196750","196910"," for"
"196910","197190"," Washington"
"197190","197630"," Post"
"197630","197790"," or"
"197790","198050"," AP"
"198050","198290"," or"
"198290","198590"," any"
"198590","198710"," of"
"198710","198890"," these"
"198890","199110"," wire"
"199110","199570"," services,"
"200050","200130"," and"
"200130","200250"," I"
"200250","200450"," do"
"200450","200830"," believe"
"200830","201230"," that,"
"201410","201570"," you"
"201570","201730"," know,"
"201850","202050"," we"
"202050","202190"," are"
"202190","202370"," sort"
"202370","202490"," of"
"202490","202810"," forming"
"202810","203050"," into"
"203050","203290"," this"
"203290","203630"," path"
"203630","203910"," of,"
"204430","204510"," you"
"204510","204610"," know,"
"204670","204810"," what"
"204810","204910"," is"
"204910","205050"," our"
"205050","205430"," aesthetic. "
"205930","206210"," And,"
"206590","206670"," you"
"206670","206750"," know,"
"206790","207050"," when"
"207050","207170"," you"
"207170","207330"," look"
"207330","207490"," at"
"207490","207810"," images"
"207810","208090"," from"
"208090","208290"," East"
"208290","208590"," Africa,"
"208770","208990"," North,"
"209150","209370"," South,"
"209690","209990"," everybody"
"209990","210270"," has"
"210270","210410"," their"
"210410","210590"," own"
"210590","210930"," unique"
"210930","211330"," style"
"211330","211690"," of"
"211690","212050"," how"
"212050","212290"," they"
"212290","212810"," interpret"
"212810","213050"," and"
"213050","213270"," how"
"213270","213510"," they're"
"213510","213750"," also"
"213750","214190"," creating"
"214190","214630"," works"
"214630","215050"," that"
"215050","215490"," expresses"
"215490","216230"," what"
"216230","216370"," is"
"216370","216510"," their"
"216510","216710"," own"
"216710","217210"," realities."
"218630","219030"," Those"
"219030","219430"," realities"
"219430","219730"," are"
"219730","219950"," coming"
"219950","220070"," to"
"220070","220190"," the"
"220190","220450"," light"
"220450","221030"," at"
"221030","221170"," the"
"221170","221470"," Museum"
"221470","221650"," of"
"221650","222030"," Culture,"
"222590","223150"," Contemporary"
"223150","223650"," and"
"223650","224010"," Traditional"
"224010","224470"," Arts"
"224470","225110"," in"
"225110","225330"," the"
"225330","225770"," Abobo"
"225770","226030"," Arts"
"226030","226430"," District"
"226430","226910"," in"
"226910","227110"," Cote"
"227110","227210"," d "
"227210","227450","'Ivoire."
"228270","228670"," Launched"
"228670","228790"," in"
"228790","229370"," 2022,"
"229850","229990"," the"
"229990","230370"," Africa"
"230370","230650"," Photo"
"230650","230950"," Fair"
"230950","231430"," doubles"
"231430","231670"," up"
"231670","231830"," as"
"231830","231930"," an"
"231930","232190"," online"
"232190","232750"," platform"
"232750","233370"," for"
"233370","233870"," photographers"
"233870","234470"," from"
"234470","234770"," around"
"234770","234950"," the"
"234950","235190"," world. "
"235930","236310"," It's"
"236310","236470"," been"
"236470","236710"," really"
"236710","236970"," a"
"236970","237270"," fulfilling"
"237270","237910"," experience"
"237910","238190"," because"
"238190","238390"," the"
"238390","238910"," interaction,"
"239210","239390"," especially"
"239390","239790"," of"
"239790","239970"," the"
"239970","240290"," youth,"
"240590","240770"," has"
"240770","240930"," been"
"240930","241210"," very"
"241210","241810"," fascinating."
"242110","242210"," They"
"242210","242610"," engage"
"242610","242750"," with"
"242750","242870"," the"
"242870","243090"," work,"
"243170","243250"," they"
"243250","243470"," take"
"243470","243810"," photos"
"243810","244010"," in"
"244010","244130"," front"
"244130","244250"," of"
"244250","244370"," the"
"244370","244590"," work,"
"244910","245050"," they"
"245050","245270"," actually"
"245270","245510"," take"
"245510","245950"," notes,"
"246090","246150"," you"
"246150","246270"," know,"
"246370","246690"," they're"
"246690","247090"," reading."
"247090","247650"," And"
"247650","247850"," this"
"247850","248010"," is"
"248010","248190"," really,"
"248330","248410"," for"
"248410","248530"," me,"
"248590","248690"," the"
"248690","248950"," ultimate"
"248950","249390"," goal"
"249390","249630"," of"
"249630","250150"," creativity"
"250150","250590"," is"
"250590","250710"," to"
"250710","250850"," have"
"250850","250950"," an"
"250950","251310"," impact"
"251310","251570"," on"
"251570","251670"," the"
"251670","251870"," future"
"251870","252450"," generation. "
"252850","252910"," I"
"252910","253130"," think"
"253130","253250"," we"
"253250","253390"," have"
"253390","253490"," to"
"253490","253690"," make"
"253690","253990"," every"
"253990","254250"," effort"
"254250","254450"," as"
"254450","254890"," artists,"
"254990","255190"," not"
"255190","255370"," only"
"255370","255570"," to"
"255570","256130"," fantasize"
"256130","256350"," about"
"256350","256589"," going"
"256589","256750"," to"
"256750","257050"," Europe"
"257050","257209"," or"
"257209","257350"," to"
"257350","257490"," the"
"257490","257589"," U "
"257589","257870",".S.,"
"257870","258050"," but"
"258050","258529"," to"
"258529","258750"," really"
"258750","259209"," work"
"259209","260290"," within"
"260290","260769"," countries"
"260769","260950"," that"
"260950","261029"," are"
"261029","261170"," our"
"261170","261470"," neighbors,"
"261630","261870"," even"
"261870","262490"," really"
"262490","262750"," going"
"262750","263190"," across"
"263190","263930"," different"
"263930","264250"," parts"
"264250","264350"," of"
"264350","264470"," the"
"264470","264850"," continent,"
"265070","265270"," because"
"265270","265470"," there's"
"265470","265650"," so"
"265650","265790"," much"
"265790","265910"," we"
"265910","266070"," can"
"266070","266350"," learn"
"266350","266570"," as"
"266570","266830"," well,"
"267270","267410"," not"
"267410","267590"," only"
"267590","267830"," about"
"267830","268150"," other"
"268150","268490"," cultures,"
"268570","268670"," but"
"268670","268870"," also"
"268870","269090"," about"
"269090","269450"," ourselves"
"269450","269670"," and"
"269670","269830"," how"
"269830","269970"," we"
"269970","270370"," relate"
"270370","271110"," to"
"271110","271810"," different"
"271810","272250"," spaces"
"272250","272610"," and"
"272610","273090"," different"
"273090","273490"," cultures. "
